Element	EUTranCellFDD	SN	latitude	longitude
BSZS09	BILW5N	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=BSZS09	47134064	7243520
BSZS09	BILW5O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=BSZS09	47134064	7243520
STDE04	STDE1O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=STDE04	47110235	7313803
STDE04	STDE2O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=STDE04	47110235	7313803
STDE04	STDE3O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=STDE04	47110235	7313803
MOLV04	MOLV1O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=MOLV04	47269837	7365112
MOLV04	MOLV1P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=MOLV04	47269837	7365112
MOLV04	MOLV2O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=MOLV04	47269837	7365112
MOLV04	MOLV2P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=MOLV04	47269837	7365112
AEBU04	AEBU1M	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU1O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU1P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU2M	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU2O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU2P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU3M	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU3O	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
AEBU04	AEBU3P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=AEBU04	47120620	7280637
COVV04	COVV1P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=COVV04	47450158	7108655
COVV04	COVV2P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=COVV04	47450158	7108655
COVV04	COVV3P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=COVV04	47450158	7108655
BUTE04	BUTE1P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=BUTE04	47442721	7015077
BUTE04	BUTE2P	SubNetwork=CH,SubNetwork=RAN,SubNetwork=LRAN27,MeContext=BUTE04	47442721	7015077
